Actual_Result,Predicted_Label,Win_Probability,Is_Correct,Deck_A_Predicting,Deck_B_Opponent,Confidence
1.0,1,0.9993,True,"[10, 11, 30, 31, 58, 62, 85, 102]","[4, 36, 42, 46, 50, 62, 98, 106]",0.9986
1.0,1,0.9993,True,"[10, 11, 15, 21, 71, 74, 103, 119]","[17, 20, 27, 36, 50, 73, 113, 120]",0.9986
0.0,0,0.0007,True,"[2, 6, 17, 20, 32, 49, 61, 115]","[0, 15, 34, 75, 96, 105, 110, 113]",0.9986
0.0,0,0.0007,True,"[0, 2, 26, 74, 91, 101, 102, 109]","[4, 13, 39, 60, 61, 99, 100, 120]",0.9986
1.0,1,0.9993,True,"[2, 5, 53, 54, 56, 87, 98, 113]","[8, 29, 32, 39, 57, 94, 106, 118]",0.9986
0.0,1,0.9993,False,"[10, 11, 30, 31, 58, 62, 85, 102]","[4, 36, 42, 46, 50, 62, 98, 106]",0.9986
1.0,1,0.9992,True,"[1, 3, 5, 27, 78, 99, 108, 115]","[9, 15, 39, 48, 96, 105, 110, 113]",0.9984
0.0,1,0.9992,False,"[35, 50, 51, 52, 62, 98, 113, 114]","[47, 52, 57, 59, 70, 96, 98, 113]",0.9984
0.0,0,0.0008,True,"[0, 2, 31, 32, 77, 85, 107, 109]","[2, 20, 50, 52, 59, 61, 73, 99]",0.9984
0.0,0,0.0008,True,"[7, 17, 50, 55, 70, 102, 110, 113]","[6, 15, 34, 35, 37, 103, 110, 113]",0.9984
0.0,0,0.0008,True,"[0, 10, 17, 31, 33, 36, 38, 78]","[5, 7, 24, 61, 68, 73, 98, 109]",0.9984
0.0,0,0.0008,True,"[13, 31, 37, 70, 75, 85, 105, 110]","[13, 34, 75, 76, 96, 105, 110, 113]",0.9984
1.0,1,0.9992,True,"[6, 15, 34, 35, 37, 103, 110, 113]","[7, 17, 50, 55, 70, 102, 110, 113]",0.9984
0.0,1,0.9992,False,"[0, 13, 15, 34, 75, 86, 105, 110]","[10, 50, 53, 56, 58, 62, 101, 109]",0.9984
0.0,0,0.0008,True,"[16, 32, 41, 49, 53, 87, 98, 109]","[10, 21, 65, 74, 85, 95, 105, 109]",0.9984
1.0,1,0.9991,True,"[5, 12, 14, 26, 33, 60, 98, 106]","[56, 68, 74, 83, 86, 95, 105, 109]",0.99820006
1.0,1,0.9991,True,"[10, 21, 65, 74, 85, 95, 105, 109]","[16, 32, 41, 49, 53, 87, 98, 109]",0.99820006
1.0,1,0.9991,True,"[26, 27, 52, 54, 70, 98, 102, 115]","[9, 13, 35, 43, 48, 76, 99, 106]",0.99820006
1.0,1,0.9991,True,"[2, 50, 51, 55, 95, 98, 106, 119]","[0, 10, 31, 78, 85, 97, 107, 109]",0.99820006
1.0,1,0.9991,True,"[10, 50, 59, 62, 74, 86, 98, 113]","[0, 12, 22, 32, 58, 62, 88, 109]",0.99820006
1.0,0,0.0009,False,"[0, 13, 34, 62, 88, 97, 110, 116]","[10, 18, 21, 30, 38, 64, 109, 112]",0.9982
0.0,0,0.0009,True,"[0, 10, 13, 31, 85, 97, 101, 115]","[50, 59, 62, 74, 83, 86, 98, 113]",0.9982
0.0,0,0.0009,True,"[0, 27, 41, 53, 62, 98, 102, 109]","[10, 31, 32, 49, 58, 62, 89, 109]",0.9982
0.0,0,0.0009,True,"[0, 1, 10, 74, 91, 93, 98, 109]","[20, 36, 50, 52, 70, 95, 98, 113]",0.9982
0.0,0,0.001,True,"[0, 1, 10, 74, 91, 93, 98, 109]","[13, 28, 43, 50, 71, 92, 100, 114]",0.998
1.0,1,0.999,True,"[10, 11, 29, 39, 94, 98, 106, 119]","[0, 10, 62, 78, 89, 97, 109, 110]",0.998
1.0,1,0.999,True,"[4, 13, 39, 60, 61, 99, 100, 120]","[0, 2, 26, 74, 91, 101, 102, 109]",0.998
1.0,1,0.999,True,"[10, 50, 59, 62, 74, 86, 98, 113]","[13, 25, 31, 70, 91, 97, 107, 115]",0.998
0.0,0,0.001,True,"[6, 11, 25, 35, 94, 95, 105, 106]","[0, 2, 34, 37, 45, 103, 108, 110]",0.998
1.0,1,0.999,True,"[10, 50, 59, 62, 74, 86, 98, 113]","[13, 25, 31, 70, 91, 97, 107, 115]",0.998
1.0,1,0.999,True,"[0, 10, 31, 78, 85, 97, 107, 115]","[0, 18, 45, 62, 64, 70, 73, 108]",0.998
1.0,1,0.999,True,"[10, 11, 29, 39, 94, 98, 106, 119]","[0, 10, 62, 78, 89, 97, 109, 110]",0.998
0.0,0,0.001,True,"[20, 49, 61, 86, 95, 107, 108, 113]","[2, 40, 50, 53, 56, 80, 101, 109]",0.998
0.0,0,0.0011,True,"[24, 25, 44, 61, 71, 74, 100, 109]","[4, 5, 36, 42, 46, 50, 106, 107]",0.9978
0.0,0,0.0011,True,"[3, 16, 19, 27, 41, 49, 98, 106]","[2, 5, 53, 54, 56, 87, 98, 113]",0.9978
0.0,0,0.0011,True,"[10, 24, 44, 50, 61, 74, 98, 113]","[2, 6, 11, 29, 32, 37, 39, 103]",0.9978
0.0,0,0.0011,True,"[0, 10, 32, 62, 85, 98, 109, 110]","[2, 50, 51, 55, 95, 98, 106, 119]",0.9978
1.0,1,0.9989,True,"[50, 51, 55, 62, 98, 106, 113, 119]","[0, 15, 23, 94, 107, 108, 110, 113]",0.9978
1.0,0,0.0011,False,"[0, 10, 17, 32, 85, 107, 109, 110]","[3, 8, 14, 34, 48, 61, 99, 108]",0.9978
0.0,0,0.0011,True,"[2, 5, 53, 54, 56, 87, 98, 113]","[3, 5, 6, 12, 13, 49, 99, 103]",0.9978
1.0,1,0.9989,True,"[2, 20, 50, 52, 59, 61, 73, 99]","[0, 2, 31, 32, 77, 85, 107, 109]",0.9978
0.0,0,0.0011,True,"[3, 14, 25, 34, 48, 99, 108, 115]","[3, 5, 7, 18, 34, 99, 108, 115]",0.9978
